Country;Country_code;Who_region;Wb_income;Year;Month;Agegroup;Deaths;
Kuwait;KWT;EMR;HIC;2025;9;65+;;
International conveyance (Diamond Princess);XXJ;OTHER;;2025;2;5_14;;
International conveyance (Diamond Princess);XXJ;OTHER;;2025;9;65+;;
International conveyance (Diamond Princess);XXJ;OTHER;;2025;1;65+;;
International conveyance (Diamond Princess);XXJ;OTHER;;2025;9;0_4;;
International conveyance (Diamond Princess);XXJ;OTHER;;2025;1;5_14;;
International conveyance (Diamond Princess);XXJ;OTHER;;2025;8;65+;;
International conveyance (Diamond Princess);XXJ;OTHER;;2025;7;65+;;
International conveyance (Diamond Princess);XXJ;OTHER;;2025;11;65+;;
International conveyance (Diamond Princess);XXJ;OTHER;;2025;6;15_64;;
International conveyance (Diamond Princess);XXJ;OTHER;;2025;10;65+;;
International conveyance (Diamond Princess);XXJ;OTHER;;2025;9;5_14;;
International conveyance (Diamond Princess);XXJ;OTHER;;2025;5;5_14;;
International conveyance (Diamond Princess);XXJ;OTHER;;2025;9;15_64;;
International conveyance (Diamond Princess);XXJ;OTHER;;2025;8;5_14;;
International conveyance (Diamond Princess);XXJ;OTHER;;2025;5;15_64;;
International conveyance (Diamond Princess);XXJ;OTHER;;2025;8;15_64;;
International conveyance (Diamond Princess);XXJ;OTHER;;2025;7;5_14;;
International conveyance (Diamond Princess);XXJ;OTHER;;2025;10;5_14;;
International conveyance (Diamond Princess);XXJ;OTHER;;2025;2;65+;;
International conveyance (Diamond Princess);XXJ;OTHER;;2025;11;5_14;;
International conveyance (Diamond Princess);XXJ;OTHER;;2025;3;5_14;;
International conveyance (FESCO);XXF;OTHER;;2025;12;15_64;;
International conveyance (FESCO);XXF;OTHER;;2025;4;65+;;
International conveyance (FESCO);XXF;OTHER;;2025;9;0_4;;
International conveyance (FESCO);XXF;OTHER;;2025;3;65+;;
International conveyance (FESCO);XXF;OTHER;;2025;8;5_14;;
International conveyance (FESCO);XXF;OTHER;;2025;2;65+;;
